Timestamp,LeftEyePos_X,LeftEyePos_Y,LeftEyePos_Z,LeftGazeDir_X,LeftGazeDir_Y,LeftGazeDir_Z,RightEyePos_X,RightEyePos_Y,RightEyePos_Z,RightGazeDir_X,RightGazeDir_Y,RightGazeDir_Z,IntersectionPoint_X,IntersectionPoint_Y,IntersectionPoint_Z,DepthVectorStart_X,DepthVectorStart_Y,DepthVectorStart_Z,DepthVectorDir_X,DepthVectorDir_Y,DepthVectorDir_Z,DepthValue,RayHitPos_X,RayHitPos_Y,RayHitPos_Z,LeftBlinkWeight,RightBlinkWeight
1.807103,-0.08151847,-0.3467269,-0.2305965,0.0567232,-0.08874759,0.9944377,-0.01652935,-0.3463039,-0.2294854,0.002659613,-0.08932243,0.9959992,-0.01334056,-0.4533963,0.9646595,0.006370854,-0.3461549,-0.2290939,-0.01644368,-0.08946307,0.9958544,1.198723,-0.2349298,-1.65895,14.38425,0.00,0.00
1.905166,-0.08051841,-0.3477274,-0.2313093,0.1684342,0.09719497,0.9809093,-0.01551973,-0.3474677,-0.2309879,0.11542,0.09775606,0.9884948,0.1224783,-0.2305885,0.950878,0.1287826,-0.3468913,-0.2302745,-0.005311646,0.0979903,0.9951732,1.186881,0.05077577,1.092139,14.38425,0.00,0.00
2.003999,-0.07976318,-0.3478462,-0.2327611,0.1604186,0.1676104,0.9727141,-0.01476359,-0.3477382,-0.2325632,0.107266,0.1687699,0.9798014,0.1135278,-0.1458888,0.939283,0.117428,-0.3475187,-0.2321609,-0.003281105,0.1696256,0.9855031,1.188676,0.07689977,1.747561,11.93998,0.00,0.00
2.101096,-0.07867564,-0.3471518,-0.2339431,0.1661047,0.1794902,0.9696352,-0.01367693,-0.3472986,-0.2343247,0.1129674,0.1809153,0.9769893,0.1214398,-0.1309106,0.9342265,0.1140861,-0.3475873,-0.2350747,0.006183575,0.1821991,0.9832423,1.18923,0.1851906,1.747561,11.07144,0.00,0.00
2.212937,-0.07659663,-0.346599,-0.2340315,0.5471109,0.04802252,0.8356814,-0.0116175,-0.3470495,-0.2356153,0.5074351,0.04973823,0.8602533,0.5891442,-0.2881637,0.7828523,0.5635418,-0.3510376,-0.2496346,0.02474346,0.06076438,0.9978454,1.034716,0.9264133,0.5401034,14.38425,0.00,0.00
2.310083,-0.07520158,-0.3451796,-0.2334713,0.5473797,0.04899387,0.835449,-0.01024611,-0.3459287,-0.2357574,0.5074578,0.05096285,0.8601683,0.5906632,-0.2855806,0.7828172,0.5533457,-0.3524284,-0.2555928,0.03583984,0.06420087,0.9972932,1.041228,1.079457,0.5900154,14.38425,0.00,0.00
2.407843,-0.07185159,-0.3443236,-0.2327366,0.5659651,0.0329404,0.8237709,-0.007015695,-0.3456233,-0.2371659,0.5263647,0.03491861,0.8495416,0.6164965,-0.3042601,0.7691671,0.5441251,-0.3566712,-0.2748176,0.06906977,0.05002012,0.9963571,1.047802,1.557627,0.3773079,14.34537,0.00,0.00
2.501836,-0.06397532,-0.3453851,-0.2317564,0.4178528,0.02327264,0.9082167,0.0001703352,-0.3476264,-0.2420184,0.3695942,0.02546019,0.9288444,0.4409241,-0.3172643,0.8656596,0.2558019,-0.3565584,-0.2829145,0.1590315,0.03375611,0.9866962,1.16406,0.2876509,-0.3497981,-0.08530994,0.99,1.00
2.602582,-0.05423421,-0.347402,-0.2309125,0.5966043,-0.09261368,0.7971738,0.008261412,-0.3500019,-0.2485912,0.5550406,-0.09213206,0.8267053,0.6684359,-0.4595854,0.7347072,0.3656248,-0.3648683,-0.349682,0.2680095,-0.0838314,0.959762,1.129852,5.24388,-1.89075,17.11973,0.00,0.00
2.70042,-0.0488545,-0.3476131,-0.2309091,0.5498966,-0.07296124,0.8320399,0.0125808,-0.3504536,-0.251948,0.5052346,-0.07148711,0.8600161,0.6153119,-0.4357358,0.7740292,0.240666,-0.3609991,-0.3300573,0.3206729,-0.06396985,0.9450274,1.168312,2.654098,-0.8424442,6.782365,0.00,0.00
2.811693,-0.04550367,-0.347019,-0.2306329,0.5037104,-0.0556817,0.8620762,0.0151654,-0.3494914,-0.253831,0.4567631,-0.05403238,0.887946,0.5614219,-0.4141104,0.8080904,0.1396067,-0.3545628,-0.3014137,0.3549213,-0.05010417,0.9335526,1.188475,0.1536591,-0.3565466,-0.2644514,0.00,0.00
2.90872,-0.04293134,-0.3469993,-0.2299897,0.5122255,-0.06524427,0.8563693,0.0170549,-0.3488249,-0.254956,0.4654051,-0.06414041,0.8827707,0.5739421,-0.425573,0.8013361,0.1189105,-0.3519247,-0.2973484,0.3819098,-0.06181334,0.9221302,1.191463,0.1282756,-0.3534404,-0.2747361,0.00,0.00
3.005789,-0.03987115,-0.346664,-0.2294103,0.6724609,-0.02901862,0.7395636,0.01908482,-0.3480638,-0.2567459,0.6330566,-0.0282787,0.7735888,0.7733642,-0.3817574,0.6649755,0.2886865,-0.354465,-0.3817497,0.4200651,-0.02365403,0.9071856,1.153816,5.070838,-0.6237478,9.945941,0.00,0.00
3.104259,-0.0356561,-0.3460848,-0.2294053,0.7967853,0.07096488,0.600081,0.02163436,-0.3471143,-0.2600931,0.7657793,0.07336696,0.6389049,0.9310659,-0.2599846,0.4986618,0.4111758,-0.3541138,-0.4687523,0.4716469,0.08539451,0.8776429,1.102287,5.096793,0.4942474,8.250274,0.00,0.00
3.202327,-0.03221642,-0.3449163,-0.2300476,0.7979529,0.07625968,0.5978758,0.02342976,-0.3457003,-0.2636316,0.7664097,0.07837711,0.6375526,0.9347355,-0.2525054,0.4944541,0.3550425,-0.3503723,-0.4637691,0.5156518,0.08705505,0.8523641,1.124195,5.090364,0.4490719,7.363646,0.00,0.00
3.313962,-0.03029042,-0.3440744,-0.2307685,0.7867049,0.06110752,0.6142974,0.02435613,-0.3446332,-0.26596,0.7538574,0.06259088,0.6540499,0.9218485,-0.2701167,0.5127081,0.3037422,-0.3474904,-0.4458801,0.5406752,0.06768102,0.8385044,1.143212,5.083675,0.2508569,6.967068,0.00,0.00
